RESULT FOR PEN: 
Hidden Layer: [0]	Max: 0.0Average: 0.0STD: 0.0
Hidden Layer: [5]	Max: 0.854202401372Average: 0.840308747856STD: 0.00950834374202
Hidden Layer: [10]	Max: 0.904516866781Average: 0.890508862207STD: 0.0112040697211
Hidden Layer: [15]	Max: 0.906518010292Average: 0.899371069182STD: 0.00684914153843
Hidden Layer: [20]	Max: 0.907661520869Average: 0.904173813608STD: 0.00207256363183
Hidden Layer: [25]	Max: 0.902801600915Average: 0.896798170383STD: 0.00570037442224
Hidden Layer: [30]	Max: 0.907661520869Average: 0.904688393368STD: 0.00250921763951
Hidden Layer: [35]	Max: 0.908519153802Average: 0.89845626072STD: 0.00810885273792
Hidden Layer: [40]	Max: 0.906518010292Average: 0.904516866781STD: 0.00168643581518

RESULT FOR CAR:
hl: [0]	Max: 0.697643979058Average: 0.697643979058STD: 0.0
hl: [5]	Max: 0.860602094241Average: 0.847643979058STD: 0.00943316897734
hl: [10]	Max: 0.86780104712Average: 0.851439790576STD: 0.00886774067327
hl: [15]	Max: 0.873036649215Average: 0.851047120419STD: 0.0114152335657
hl: [20]	Max: 0.854057591623Average: 0.844633507853STD: 0.00808557340915
hl: [25]	Max: 0.858638743455Average: 0.842015706806STD: 0.0116234493583
hl: [30]	Max: 0.849476439791Average: 0.839528795812STD: 0.0065103822594
hl: [35]	Max: 0.844895287958Average: 0.830235602094STD: 0.0139911609074
hl: [40]	Max: 0.847513089005Average: 0.831544502618STD: 0.00981762648827
